name,smiles,name_id,count
2-C-methyl-D-erythritol 4-phosphate,C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-],2me4p_c,13
Silver,[Ag+],ag_c,1
4-Aminobenzoate,Nc1ccc(C(=O)O)cc1,4abz_c,10
4-amino-4-deoxychorismate,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1N)C(=O)[O-],4adcho_c,16
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O,2mecdp_c,16
Adenosine-GDP-cobinamide,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)(O)OP(=O)(O)OC[C@H]6O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)[C@H](O)[C@@H]6O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,agdpcbi_c,113
2-Oxobutanoate,CCC(=O)C(=O)[O-],2obut_c,7
Agmatine,N=C(N)NCCCCN,agm_c,9
4-Amino-5-hydroxymethyl-2-methylpyrimidine,Cc1ncc(CO)c(N)n1,4ahmmp_c,10
S-Adenosyl-L-homocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,ahcys_c,26
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,ahdt_c,30
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,4c2me_c,33
P-Cresol,Cc1ccc(O)cc1,4crsol_c,8
2-Octaprenyl-6-hydroxyphenol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,2ohph_c,48
[4Fe-4S] iron-sulfur cluster,[S]12[Fe]3[S]4[Fe]1[S]1[Fe]2[S]3[Fe]41,4fe4s_c,8
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N,aicar_c,22
5-amino-1-(5-phospho-D-ribosyl)imidazole,Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,air_c,19
"2-Octaprenyl-6-methoxy-1,4-benzoquinol",COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,2ombzl_c,50
2-Oxoglutarate,O=C([O-])CCC(=O)C(=O)[O-],akg_c,10
4-Hydroxy-2-oxopentanoate,CC(O)CC(=O)C(=O)[O-],4h2opntn_c,9
